Scenario,Waveform,Modulation,Bandwidth_MHz,IBO_dB,Method,NMSE_dB_before,NMSE_dB_during,NMSE_dB_after,EVM_percent_before,EVM_percent_during,EVM_percent_after,ACPR_dBc_before,ACPR_dBc_during,ACPR_dBc_after,NumAdaptations,Runtime_s,Comments
S0,OFDM-QAM,64QAM,40,2.92256071356476,No_DPD,-5.57983448501292,-3.83938594393018,-4.91454731239935,52.6027290069824,64.2733154256759,56.7901001254875,-23.9710484692398,-16.2074238109865,-19.468071740349,0,3.424320356,"Calibration nominale et référence de performance"
S0,OFDM-QAM,64QAM,40,2.92256071356476,MP_DPD,-21.2131140598654,-20.5122317218567,-20.9075790061924,8.69649590925948,9.42732358011416,9.00784801000148,-36.4581719271282,-33.744293360514,-34.4649640492097,0,3.595589851,"Static MP-DPD baseline"
S0,OFDM-QAM,64QAM,40,2.92256071356476,GMP_DPD,-21.1617790433381,-20.5202747066559,-20.9070633464256,8.74804579460833,9.41859808065874,9.00838279951425,-36.4993998337866,-33.8162476130926,-34.513426592617,0,3.649390632,"Static GMP-DPD baseline"
S0,OFDM-QAM,64QAM,40,2.92256071356476,NN_DPD_Static,-18.962492219097,-18.6464001264706,-18.8212659689131,11.2687407881746,11.6863797239851,11.4534599503512,-33.5961018624913,-32.8382458695136,-32.490893433807,0,23.206771289,"Offline NN-DPD with fixed weights"
S0,OFDM-QAM,64QAM,40,2.92256071356476,NN_DPD_Adaptive,-18.8705578362144,-18.5323156607111,-18.4466211797714,11.3886463791858,11.840886465349,11.9582861379975,-33.4537078440697,-32.6937150410801,-32.2413937902119,1,25.080844408,"Online NN-DPD adaptation"
S1,OFDM-QAM,64QAM,40,2.92256071356476,No_DPD,-5.02594850331355,-1.28508652220481,-0.718563630088172,56.0663875687886,86.247332899265,92.0601797425899,-22.0752359754329,-12.8599803101234,-12.4739461302965,0,3.648132079,"Dérive thermique graduelle du PA"
S1,OFDM-QAM,64QAM,40,2.92256071356476,MP_DPD,-20.4137981815444,-18.0001838462231,-17.0326047874871,9.53476713645191,12.5889876556191,14.0724515021071,-36.1505165726542,-30.591055276847,-30.8143827736969,0,3.70277091,"Static MP-DPD baseline"
S1,OFDM-QAM,64QAM,40,2.92256071356476,GMP_DPD,-20.3755834718414,-18.0380785673672,-17.0738702798008,9.576809010501,12.5341841685771,14.0057537410481,-36.1945712331052,-30.6743991660672,-30.8883692498522,0,3.719010944,"Static GMP-DPD baseline"
S1,OFDM-QAM,64QAM,40,2.92256071356476,NN_DPD_Static,-18.5173400120205,-17.2887721273255,-16.3164339565807,11.8613193648311,13.6634821457757,15.2819333828583,-33.4162632038307,-31.7669041828808,-29.918986385924,0,18.81875914,"Offline NN-DPD with fixed weights"
S1,OFDM-QAM,64QAM,40,2.92256071356476,NN_DPD_Adaptive,-18.4280179315805,-17.2076261586435,-15.0509365636565,11.983925580538,13.7917282745052,17.6788158407694,-33.2769498149689,-31.6275218126713,-29.584606292354,3,21.356351737,"Online NN-DPD adaptation"
S2,OFDM-QAM,64QAM,40,2.92256071356476,No_DPD,-5.57983448501292,-0.286082544731986,-0.265326047026222,52.6027290069824,96.7600029127645,96.9915048648067,-23.9710484692398,-12.0364711731581,-12.1782318738846,0,3.2278906,"Rupture brutale de puissance ou changement d IBO"
S2,OFDM-QAM,64QAM,40,2.92256071356476,MP_DPD,-21.2131140598654,-12.2685954438811,-15.8028858158492,8.69649590925948,24.3539958561797,16.2127135370942,-36.4581719271282,-25.9488791472083,-29.6604469401419,0,3.267453017,"Static MP-DPD baseline"
S2,OFDM-QAM,64QAM,40,2.92256071356476,GMP_DPD,-21.1617790433381,-12.2967743639834,-15.8534227131226,8.74804579460833,24.2751142066117,16.1186573937293,-36.4993998337866,-26.0324839267275,-29.7358607002324,0,3.280190356,"Static GMP-DPD baseline"
S2,OFDM-QAM,64QAM,40,2.92256071356476,NN_DPD_Static,-18.962492219097,-12.382231894452,-15.3451134716509,11.2687407881746,24.0374506309959,17.0900890793675,-33.5961018624913,-29.2927777791829,-29.0020015121491,0,14.756190565,"Offline NN-DPD with fixed weights"
S2,OFDM-QAM,64QAM,40,2.92256071356476,NN_DPD_Adaptive,-18.8705578362144,-12.5359962447307,-13.3776303846255,11.3886463791858,23.6156654492038,21.4347528725298,-33.4537078440697,-29.4502328714169,-29.6945088413578,6,20.524663129,"Online NN-DPD adaptation"
