Scenario,Waveform,Modulation,Bandwidth_MHz,IBO_dB,Method,NMSE_dB_before,NMSE_dB_during,NMSE_dB_after,EVM_percent_before,EVM_percent_during,EVM_percent_after,ACPR_dBc_before,ACPR_dBc_during,ACPR_dBc_after,NumAdaptations,Runtime_s,Comments,Seed
S0,OFDM-QAM,64QAM,40,2.92256071356476,No_DPD,-5.53038399724699,-5.33723235534522,-5.68290862336532,52.9030608610798,54.0926654662611,51.9821895853261,-22.4624629442869,-21.8696900466879,-24.2391079411868,0,3.081072719,"Calibration nominale et référence de performance",1
S0,OFDM-QAM,64QAM,40,2.92256071356476,MP_DPD,-19.9796095139285,-19.679329337296,-19.8120030423451,10.0235029909628,10.3760852948582,10.2187987896174,-34.3068105359807,-34.0805469009739,-34.7312281872315,0,3.222447192,"Static MP-DPD baseline",1
S0,OFDM-QAM,64QAM,40,2.92256071356476,GMP_DPD,-19.1548669603125,-19.0741808938236,-19.0672370476445,11.0219047094029,11.1247678078343,11.1336649462646,-34.4388339929845,-34.5729023592943,-34.6928769440249,0,3.265881623,"Static GMP-DPD baseline",1
S0,OFDM-QAM,64QAM,40,2.92256071356476,NN_DPD_Static,-21.1224981295551,-20.8307251277457,-21.8347220838718,8.78769739456325,9.08790426968517,8.09587689674996,-33.1143102960809,-32.4799433181133,-33.2102249570961,0,361.354808337,"Offline NN-DPD with fixed weights",1
S0,OFDM-QAM,64QAM,40,2.92256071356476,NN_DPD_Adaptive,-21.0355070080801,-20.7779483156722,-21.7983029919269,8.87615034206377,9.14329188645326,8.12989338663879,-32.8086585395281,-32.3348960395286,-33.0897554355968,2,365.201657104,"Online NN-DPD adaptation",1
S1,OFDM-QAM,64QAM,40,2.92256071356476,No_DPD,-4.95886570391009,-2.92475776100683,-1.50570072574215,56.5010755124018,71.4105062538079,84.0843098107161,-20.5319395645356,-16.2449464245908,-14.6807119110491,0,3.273157454,"Dérive thermique graduelle du PA",1
S1,OFDM-QAM,64QAM,40,2.92256071356476,MP_DPD,-19.2323570625077,-17.3360174686969,-15.4941613429867,10.9240114550564,13.5893638406219,16.7993288994127,-34.1540894050209,-31.028810685333,-27.2610651824323,0,3.305358846,"Static MP-DPD baseline",1
S1,OFDM-QAM,64QAM,40,2.92256071356476,GMP_DPD,-18.5112460952386,-17.2797067614727,-15.367723693553,11.8696440452191,13.6777500135602,17.0456597547808,-34.2589534288552,-33.1073467029056,-27.2259175949075,0,3.31822808,"Static GMP-DPD baseline",1
S1,OFDM-QAM,64QAM,40,2.92256071356476,NN_DPD_Static,-20.6613341363265,-19.4913784701696,-18.1092758780771,9.26687474992609,10.6030565213353,12.4318627300196,-32.7813351325588,-29.9131309035216,-29.2097529561766,0,363.961825742,"Offline NN-DPD with fixed weights",1
S1,OFDM-QAM,64QAM,40,2.92256071356476,NN_DPD_Adaptive,-20.5805923551786,-19.4476741767084,-17.487679404246,9.35341884078276,10.6565417600732,13.3541432249369,-32.5026799497163,-29.7980058551799,-28.5429042290466,3,369.300959916,"Online NN-DPD adaptation",1
S2,OFDM-QAM,64QAM,40,2.92256071356476,No_DPD,-5.53038399724699,-1.33521393968372,-0.68834790291487,52.9030608610798,85.7510216545982,92.3809884697508,-22.4624629442869,-12.7983816683879,-13.5174316301008,0,3.192883472,"Rupture brutale de puissance ou changement d IBO",1
S2,OFDM-QAM,64QAM,40,2.92256071356476,MP_DPD,-19.9796095139285,-12.1809345522611,-14.452609783133,10.0235029909628,24.6010289684534,18.9395436680743,-34.3068105359807,-26.7371655653527,-26.0843878731386,0,3.22505938,"Static MP-DPD baseline",1
S2,OFDM-QAM,64QAM,40,2.92256071356476,GMP_DPD,-19.1548669603125,-12.4392013405675,-14.3838163160337,11.0219047094029,23.8803085002282,19.0901431138232,-34.4388339929845,-30.2032143677736,-26.0692040157893,0,3.237196308,"Static GMP-DPD baseline",1
S2,OFDM-QAM,64QAM,40,2.92256071356476,NN_DPD_Static,-21.1224981295551,-12.730632913316,-16.685484020675,8.78769739456325,23.0923618604875,14.6462282828207,-33.1143102960809,-25.4031834183079,-27.7825403037908,0,365.088432024,"Offline NN-DPD with fixed weights",1
