Scenario,Waveform,Modulation,Bandwidth_MHz,IBO_dB,Method,NMSE_dB_before,NMSE_dB_during,NMSE_dB_after,EVM_percent_before,EVM_percent_during,EVM_percent_after,ACPR_dBc_before,ACPR_dBc_during,ACPR_dBc_after,NumAdaptations,Runtime_s,Comments,Seed
S0,OFDM-QAM,64QAM,40,2.92256071356476,No_DPD,-5.53038399724699,-5.33723235534522,-5.68290862336532,52.9030608610798,54.0926654662611,51.9821895853261,-22.4624629442869,-21.8696900466879,-24.2391079411868,0,2.975695359,"Calibration nominale et référence de performance",1
S0,OFDM-QAM,64QAM,40,2.92256071356476,MP_DPD,-19.9796095139285,-19.679329337296,-19.8120030423451,10.0235029909628,10.3760852948582,10.2187987896174,-34.3068105359807,-34.0805469009739,-34.7312281872315,0,3.118397671,"Static MP-DPD baseline",1
S0,OFDM-QAM,64QAM,40,2.92256071356476,GMP_DPD,-19.1548669603125,-19.0741808938236,-19.0672370476445,11.0219047094029,11.1247678078343,11.1336649462646,-34.4388339929845,-34.5729023592943,-34.6928769440249,0,3.162780572,"Static GMP-DPD baseline",1
S0,OFDM-QAM,64QAM,40,2.92256071356476,NN_DPD_Static,-21.1224981295551,-20.8307251277457,-21.8347220838718,8.78769739456325,9.08790426968517,8.09587689674996,-33.1143102960809,-32.4799433181133,-33.2102249570961,0,358.296107924,"Offline NN-DPD with fixed weights",1
S0,OFDM-QAM,64QAM,40,2.92256071356476,NN_DPD_Adaptive,-21.1224981338999,-20.8434608244176,-21.8498766544438,8.7876973901675,9.07458888278802,8.0817640568715,-33.1143102854119,-32.4741275217902,-33.1697387890717,2,362.107576084,"Online NN-DPD adaptation",1
S1,OFDM-QAM,64QAM,40,2.92256071356476,No_DPD,-4.95886570391009,-2.92475776100683,-1.50570072574215,56.5010755124018,71.4105062538079,84.0843098107161,-20.5319395645356,-16.2449464245908,-14.6807119110491,0,3.167507933,"Dérive thermique graduelle du PA",1
S1,OFDM-QAM,64QAM,40,2.92256071356476,MP_DPD,-19.2323570625077,-17.3360174686969,-15.4941613429867,10.9240114550564,13.5893638406219,16.7993288994127,-34.1540894050209,-31.028810685333,-27.2610651824323,0,3.21121524,"Static MP-DPD baseline",1
S1,OFDM-QAM,64QAM,40,2.92256071356476,GMP_DPD,-18.5112460952386,-17.2797067614727,-15.367723693553,11.8696440452191,13.6777500135602,17.0456597547808,-34.2589534288552,-33.1073467029056,-27.2259175949075,0,3.23703678,"Static GMP-DPD baseline",1
S1,OFDM-QAM,64QAM,40,2.92256071356476,NN_DPD_Static,-20.6613341363265,-19.4913784701696,-18.1092758780771,9.26687474992609,10.6030565213353,12.4318627300196,-32.7813351325588,-29.9131309035216,-29.2097529561766,0,343.642939287,"Offline NN-DPD with fixed weights",1
S1,OFDM-QAM,64QAM,40,2.92256071356476,NN_DPD_Adaptive,-20.6613341418281,-19.4957705835842,-17.5066127618304,9.26687474405652,10.5976963272228,13.3250657886946,-32.7813351237062,-29.8827565751055,-28.5771663780367,3,348.630519035,"Online NN-DPD adaptation",1
S2,OFDM-QAM,64QAM,40,2.92256071356476,No_DPD,-5.53038399724699,-1.33521393968372,-0.68834790291487,52.9030608610798,85.7510216545982,92.3809884697508,-22.4624629442869,-12.7983816683879,-13.5174316301008,0,2.921115196,"Rupture brutale de puissance ou changement d IBO",1
S2,OFDM-QAM,64QAM,40,2.92256071356476,MP_DPD,-19.9796095139285,-12.1809345522611,-14.452609783133,10.0235029909628,24.6010289684534,18.9395436680743,-34.3068105359807,-26.7371655653527,-26.0843878731386,0,2.959309817,"Static MP-DPD baseline",1
S2,OFDM-QAM,64QAM,40,2.92256071356476,GMP_DPD,-19.1548669603125,-12.4392013405675,-14.3838163160337,11.0219047094029,23.8803085002282,19.0901431138232,-34.4388339929845,-30.2032143677736,-26.0692040157893,0,2.9704435,"Static GMP-DPD baseline",1
S2,OFDM-QAM,64QAM,40,2.92256071356476,NN_DPD_Static,-21.1224981295551,-12.730632913316,-16.685484020675,8.78769739456325,23.0923618604875,14.6462282828207,-33.1143102960809,-25.4031834183079,-27.7825403037908,0,343.321625694,"Offline NN-DPD with fixed weights",1
S2,OFDM-QAM,64QAM,40,2.92256071356476,NN_DPD_Adaptive,-21.1224981338999,-12.7522236612906,-17.000578321421,8.7876973901675,23.0350318424433,14.1244349858264,-33.1143102854119,-25.6381309141767,-28.0321791355379,7,353.979054834,"Online NN-DPD adaptation",1
S3,OFDM-QAM,64QAM,40,2.92256071356476,No_DPD,-5.38869489761952,-5.18064897264433,-5.54041996890187,53.7731224107209,55.0766543939902,52.841970169152,-22.9727322202619,-21.3080089889961,-24.7173752917538,0,2.921972777,"Variation des effets mémoire du PA",1
S3,OFDM-QAM,64QAM,40,2.92256071356476,MP_DPD,-16.3136567616585,-15.833258941006,-16.2357818934728,15.2868203541686,16.156119356658,15.4244932684754,-34.9519502773957,-33.3786945273007,-35.3532296867356,0,2.961864009,"Static MP-DPD baseline",1
S3,OFDM-QAM,64QAM,40,2.92256071356476,GMP_DPD,-15.8997476868125,-15.6249547269872,-15.8600036549966,16.0329196344738,16.5482572528314,16.1064495742352,-35.1063418291873,-33.8195836667361,-35.3204684818253,0,2.973345744,"Static GMP-DPD baseline",1
S3,OFDM-QAM,64QAM,40,2.92256071356476,NN_DPD_Static,-16.8975217819655,-16.0974138954365,-17.1499132836878,14.2930170212053,15.6721761821113,13.8836717074067,-33.8121060206915,-31.7126459742389,-33.8296025411566,0,344.975525043,"Offline NN-DPD with fixed weights",1
S3,OFDM-QAM,64QAM,40,2.92256071356476,NN_DPD_Adaptive,-16.8975217843333,-16.0974138957491,-17.1499132822008,14.293017017309,15.6721761815474,13.8836717097835,-33.8121060082025,-31.712645907563,-33.8296025402835,0,345.83269704,"Online NN-DPD adaptation",1
S4,OFDM-QAM,64QAM,40,2.92256071356476,No_DPD,-5.05464781702717,-3.234985675281,-1.9721754501283,55.881442611574,68.9049966969299,79.6876881442929,-20.6347225522567,-16.5420334434894,-15.1413360845899,0,3.073864264,"Vieillissement lent du PA",1
S4,OFDM-QAM,64QAM,40,2.92256071356476,MP_DPD,-19.6187469402943,-18.1540542752681,-16.6990327016687,10.4487094543276,12.3679376229058,14.6234001791403,-34.1018168803789,-31.2408198636294,-27.9190679077127,0,3.113271825,"Static MP-DPD baseline",1
