Scenario,Waveform,Modulation,Bandwidth_MHz,IBO_dB,Method,NMSE_dB_before,NMSE_dB_during,NMSE_dB_after,EVM_percent_before,EVM_percent_during,EVM_percent_after,ACPR_dBc_before,ACPR_dBc_during,ACPR_dBc_after,NumAdaptations,Runtime_s,Comments,BW_config_MHz,NSC,ModOrder,ModName
S0,OFDM-QAM,4QAM,30,2.92256071356476,No_DPD,-6.97316703605676,-5.28444618082911,-5.64696863357428,44.8065647184111,54.4224001162905,52.1977241967324,-22.6006303451298,-18.4354892591737,-19.7473508096333,0,4.080049834,"Calibration nominale et référence de performance",30,250,4,QPSK
S0,OFDM-QAM,4QAM,30,2.92256071356476,MP_DPD,-21.2964430488687,-20.628154686375,-20.9154680857852,8.61346409192411,9.3023412161299,8.99967022161414,-34.146955085879,-35.4883124274032,-34.5555752831725,0,4.262853208,"Static MP-DPD baseline",30,250,4,QPSK
S0,OFDM-QAM,4QAM,30,2.92256071356476,GMP_DPD,-21.1040623501225,-20.5090645052446,-20.7949033666107,8.80636906899093,9.43076177948405,9.12546138452172,-34.1690055142212,-35.4860762900757,-34.5678046585542,0,4.315620586,"Static GMP-DPD baseline",30,250,4,QPSK
S0,OFDM-QAM,4QAM,30,2.92256071356476,NN_DPD_Static,-19.1142340665186,-18.9639377712242,-18.9585734795891,11.0735863529524,11.266865540218,11.2738259578636,-32.0579310791149,-32.4018819599909,-32.303114003333,0,24.942875703,"Offline NN-DPD with fixed weights",30,250,4,QPSK
S0,OFDM-QAM,4QAM,30,2.92256071356476,NN_DPD_Adaptive,-19.05684765507,-18.819155302474,-18.8462068988687,11.1469901469421,11.4562434730485,11.4206193064833,-31.9313307763017,-32.0937017892404,-32.2016678244247,0,25.985366319,"Online NN-DPD adaptation",30,250,4,QPSK
S1,OFDM-QAM,4QAM,30,2.92256071356476,No_DPD,-6.15797822725425,-2.02339713452806,-0.716267456368595,49.2154078687407,79.2191436234178,92.0845196913227,-20.5555286087009,-14.0150939769081,-11.9829842555598,0,3.546200343,"Dérive thermique graduelle du PA",30,250,4,QPSK
S1,OFDM-QAM,4QAM,30,2.92256071356476,MP_DPD,-20.6157493069387,-18.2372507491659,-17.8433029628761,9.31563651738774,12.2500387515417,12.818430465166,-34.1914783832643,-34.4314414838095,-33.2167939462116,0,3.583327806,"Static MP-DPD baseline",30,250,4,QPSK
S1,OFDM-QAM,4QAM,30,2.92256071356476,GMP_DPD,-20.4529594598738,-18.1764306141919,-17.8195118946931,9.49187536534077,12.3361167035921,12.8535888891419,-34.2061119873097,-34.3863743983713,-33.2004959485003,0,3.597155524,"Static GMP-DPD baseline",30,250,4,QPSK
S1,OFDM-QAM,4QAM,30,2.92256071356476,NN_DPD_Static,-18.7325842115682,-18.0247307563004,-17.3747408258296,11.5709972247337,12.5534605518779,13.5289147047585,-32.0802437097177,-32.1886729106484,-31.5186698452335,0,16.984293363,"Offline NN-DPD with fixed weights",30,250,4,QPSK
S1,OFDM-QAM,4QAM,30,2.92256071356476,NN_DPD_Adaptive,-18.684033598104,-17.9136202346195,-17.3508198449002,11.6358555208207,12.7150768169438,13.5662247519486,-31.9545679252182,-31.8122271135297,-31.4322060864436,1,18.593568716,"Online NN-DPD adaptation",30,250,4,QPSK
