Scenario,Waveform,Modulation,Bandwidth_MHz,IBO_dB,Method,NMSE_dB_before,NMSE_dB_during,NMSE_dB_after,EVM_percent_before,EVM_percent_during,EVM_percent_after,ACPR_dBc_before,ACPR_dBc_during,ACPR_dBc_after,NumAdaptations,Runtime_s,Comments
S0,OFDM-QAM,64QAM,40,2.92256071356476,No_DPD,-5.57983448501292,-3.83938594393018,-4.91454731239935,52.6027290069824,64.2733154256759,56.7901001254875,-23.9710484692398,-16.2074238109865,-19.468071740349,0,3.601311778,"Calibration nominale et référence de performance"
S0,OFDM-QAM,64QAM,40,2.92256071356476,MP_DPD,-21.2131140598654,-20.5122317218567,-20.9075790061924,8.69649590925948,9.42732358011416,9.00784801000148,-36.4581719271282,-33.744293360514,-34.4649640492097,0,3.85262011,"Static MP-DPD baseline"
S0,OFDM-QAM,64QAM,40,2.92256071356476,GMP_DPD,-21.1617790433381,-20.5202747066559,-20.9070633464256,8.74804579460833,9.41859808065874,9.00838279951425,-36.4993998337866,-33.8162476130926,-34.513426592617,0,3.900402009,"Static GMP-DPD baseline"
S0,OFDM-QAM,64QAM,40,2.92256071356476,NN_DPD_Static,-21.5588384428197,-20.950172756393,-21.1947386949469,8.35714770236842,8.96378357421354,8.71491318658443,-32.818440655442,-32.3456245213381,-32.2586056928966,0,292.305066275,"Offline NN-DPD with fixed weights"
S0,OFDM-QAM,64QAM,40,2.92256071356476,NN_DPD_Adaptive,-21.5038931934317,-20.9078515828163,-21.0745035104163,8.41018095635634,9.00756533426227,8.83638896188915,-32.6976571983748,-32.255410532863,-32.0787698704292,0,293.415453572,"Online NN-DPD adaptation"
S1,OFDM-QAM,64QAM,40,2.92256071356476,No_DPD,-5.02594850331355,-1.28508652220481,-0.718563630088172,56.0663875687886,86.247332899265,92.0601797425899,-22.0752359754329,-12.8599803101234,-12.4739461302965,0,3.222198655,"Dérive thermique graduelle du PA"
S1,OFDM-QAM,64QAM,40,2.92256071356476,MP_DPD,-20.4137981815444,-18.0001838462231,-17.0326047874871,9.53476713645191,12.5889876556191,14.0724515021071,-36.1505165726542,-30.591055276847,-30.8143827736969,0,3.261518385,"Static MP-DPD baseline"
S1,OFDM-QAM,64QAM,40,2.92256071356476,GMP_DPD,-20.3755834718414,-18.0380785673672,-17.0738702798008,9.576809010501,12.5341841685771,14.0057537410481,-36.1945712331052,-30.6743991660672,-30.8883692498522,0,3.275028245,"Static GMP-DPD baseline"
S1,OFDM-QAM,64QAM,40,2.92256071356476,NN_DPD_Static,-21.1397140762687,-19.6113150938518,-18.0675215295106,8.77029690895017,10.457653435639,12.4917683943117,-32.6343769210756,-31.075228598732,-28.7167797771742,0,296.823741316,"Offline NN-DPD with fixed weights"
S1,OFDM-QAM,64QAM,40,2.92256071356476,NN_DPD_Adaptive,-21.0913839520023,-19.5793314500729,-17.869046003022,8.81923271141074,10.4962321467975,12.7804957382686,-32.5167506824588,-31.0106101509098,-28.460833681005,2,300.876472469,"Online NN-DPD adaptation"
